nomePesquisado,nomeEncontrado,nomeAceito,baseDados,familia,pais,ano,mes,lat,long,coordMun
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Bolivia,2000,9,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Bolivia,2000,9,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Venezuela,1973,11,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Bolivia,1988,5,-13.08333,-67.25,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Bolivia,1991,5,-13.08333,-67.25,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Colombia,1992,5,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1998,12,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1997,9,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1990,3,-28.7,-57.75,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1993,3,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1992,4,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1992,12,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,2002,5,-26.18333,-58.95,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1996,10,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1998,8,-28.7,-58.01666,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Argentina,1998,12,-28.68333,-58.06666,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Paraguay,1974,5,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Ecuador,1999,12,-0.08333,-76.13333,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Colombia,1969,,,,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Ecuador,1979,10,-1.2667,-79.7,
Eichhornia azurea,Eichhornia azurea (Sw.) Kunth,Eichhornia azurea,SPL,Pontederiaceae,Uruguay,,,,,
